0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Label
-254.40517,107.13218,-13.871202,22.399054,-10.25962,-5.176639,-12.489872,0.9087411,-15.340473,5.041277,-11.460312,-4.5972548,-10.31948,0.8596565,-10.549878,-1.3730389,-6.599928,-2.5126965,-7.4746065,-3.4910293,-6.8540816,-4.449647,-7.6067004,-3.8934286,-6.9315333,-4.0791078,-6.363782,-2.727812,-6.768954,-4.1961956,-4.1724887,-4.3927283,-3.4809644,-3.7796738,-2.552792,-3.827948,-2.8548746,-4.0732145,-3.7233698,-3.4412465,FAKE
-250.76634,117.728546,-22.377508,30.396112,3.842538,-3.1512663,-9.441015,-8.359404,-15.489609,3.11775,-7.625323,3.0124233,-6.0614104,3.394196,-8.569058,4.352615,-5.655811,-5.148277,-2.9361389,2.8433769,-10.973576,0.72663444,-5.199327,-4.5816126,-4.908442,-1.7959207,-1.4491724,-2.489711,-1.720087,-1.5786628,-0.9671913,-3.1088884,-0.05787624,-1.2571942,-1.9045058,-0.81642693,-2.1583865,-1.1515561,-1.5268121,-2.2970188,FAKE
-268.54486,102.09541,-9.659309,16.165157,-3.3968139,4.1953783,-18.49335,-5.6713204,-11.122903,2.0532243,-5.961346,-1.9714065,-6.2511754,-0.18993856,-11.878859,2.1182985,-5.2513566,-4.8355927,-3.0772681,-0.88325864,-5.461062,-2.5707815,-1.6602095,-4.1605988,-4.195037,-0.91388845,-4.473027,-3.6616983,-2.485109,-3.9368618,-3.0668616,-2.4498258,-2.2155018,-2.2622118,-1.4934919,-2.7203531,-1.2437587,-3.11831,-2.1976516,-1.2982631,FAKE
-251.43309,110.2286,-9.028042,27.603468,-7.6297493,11.717114,-18.532501,3.5855029,-14.429383,-1.0320766,-4.7226787,-2.0138235,-5.6104994,-1.3873231,-4.9777203,0.26841512,-7.9691358,-4.7818027,-3.4253898,-4.791989,-6.799194,-1.8811334,-4.8155193,-4.0959945,-4.151058,-2.4918995,-5.6016846,-1.419423,-4.4338956,-4.3538785,-2.1199703,-3.0584779,-3.784187,-3.8322437,-3.287624,-4.2653136,-3.5688596,-4.0005927,-3.6327224,-5.47523,FAKE
-234.93768,50.273712,-8.564315,26.25878,-23.714483,-6.706354,-19.168896,-0.60655314,-22.038624,1.668123,-16.179098,0.6014055,-18.363146,-1.659075,-14.032964,-10.150774,-12.256733,-3.3822932,-14.828556,-3.287175,-9.808552,-3.2172415,-9.738596,1.3119818,-7.2079334,-1.3243214,-2.1366434,-2.6263688,-0.41530776,-0.1277085,-0.56530535,3.0248117,-0.24432462,2.3501847,0.39815128,1.8948953,2.6794922,0.49274704,1.4328074,0.36768067,FAKE
-252.42305,83.60989,-11.198828,17.916037,-6.2835817,2.3891294,-17.970724,-3.4200604,-20.303127,-7.2816668,-6.405003,-5.5527463,-12.237675,2.3430798,-9.015919,2.72356,-15.161033,-3.1850073,-10.429112,-3.860545,-8.318943,-0.17581098,-9.872335,-2.0056446,-10.647323,-2.742749,-8.857816,-2.0013962,-6.3443165,-2.2088802,-5.638389,1.0108373,-2.918501,-1.3341651,-3.1262336,-0.1664215,-2.7100778,-2.2041016,-1.5332309,-1.1640177,FAKE
-275.2074,102.663506,-1.7194837,20.687037,1.1614963,3.7497551,-17.228765,-4.868191,-12.327139,1.8142756,-7.725455,1.6767015,-6.9972477,-1.0763613,-8.926743,1.1794692,-7.4599314,-1.7560135,-4.867782,-0.2819947,-7.1672764,-1.3511102,-2.569719,-2.8908746,-6.599294,-1.0941392,-4.197465,-2.7528117,-3.4664643,-3.2196593,-3.483811,-3.2277205,-2.408937,-6.4374437,-2.507792,-4.5517697,-3.271196,-3.1233156,-1.1612244,-5.449665,FAKE
-281.12766,110.81938,-4.915457,22.470219,0.1881446,-7.0783825,-12.980607,-0.58997536,-9.286253,6.094974,-9.0539875,-4.437043,-6.128279,1.0744065,-5.984167,-0.82568717,-4.6620297,-2.1867054,-6.076271,-4.5691195,-6.2055197,-4.00721,-6.1727405,-3.9045758,-5.3706965,-3.3555465,-5.2687874,-2.269474,-6.0167413,-4.1776237,-2.9218478,-4.0410533,-2.6356099,-2.819935,-1.7623994,-3.4038687,-2.4575016,-3.657688,-3.2166438,-3.0260231,FAKE
-272.50128,105.97135,-11.127355,18.41461,-1.696511,-12.397247,-20.36102,-4.502633,-10.162841,2.4049385,-15.262256,2.03305,-8.198344,-7.2770452,-6.6425395,-15.835731,-13.189021,-1.9607521,-5.457865,-1.7890011,-4.676487,-7.8890953,-4.614706,4.025283,-1.1997893,-0.6116432,-4.1731052,-0.49856523,0.16117637,-3.7540998,-3.9165738,-3.2896974,-1.2041795,-2.9348423,-2.448873,-1.1272981,0.4398316,-1.4194679,1.2998567,3.8760397,FAKE
-305.8079,114.65767,1.5735308,19.72278,4.0443797,8.398262,-16.878565,-8.408174,-7.56672,0.41191226,-4.278381,-0.40939298,-3.2663527,-3.9087667,-6.8798804,0.2782042,-4.79583,-1.7975284,-5.416913,-2.303921,-5.4031353,-4.303561,-2.1011589,-4.679476,-4.565824,-1.2833902,-3.6216834,-3.1917672,-2.0259538,-1.9539498,-1.6236221,-1.4784573,-1.1049383,-1.826231,-1.7332484,-3.1730716,-1.422922,-3.2090235,-2.3947592,-1.7178292,FAKE
-374.31625,101.834015,9.335633,20.03242,6.545219,5.4368815,-9.978528,-1.5895879,-2.7954688,-1.5141547,0.4151696,-0.24284141,-0.929425,-0.7346547,0.3540556,-1.13536,-5.4741426,-3.6704206,-3.7961228,-5.8797545,-4.8955183,-3.0098648,-1.6457143,-3.4241529,-2.5979729,-0.9421843,-4.07753,-1.2896214,-2.5736482,-3.5434537,-1.0703696,-1.829407,-1.9918191,-2.723575,-2.285969,-2.6776795,-2.9988663,-2.7057154,-2.2519524,-3.5232966,FAKE
